customer_id,age,tenure,balance,debt_to_income_ratio,total_products_owned,nps,has_mobile_app,has_web_account,churn_risk_score,risk_level
166,35,31,-10837.7,26.420073889934216,2,8,1.0,1.0,1.0,High
3238,41,31,47.56,0.9040928869932359,3,6,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
2676,28,27,1491.43,5.696979601875735,2,9,1.0,1.0,1.0,High
706,54,36,1589.03,10.13631794508115,2,9,1.0,1.0,1.0,High
706,54,36,1589.03,10.13631794508115,2,9,1.0,1.0,1.0,High
706,54,36,1589.03,10.13631794508115,2,9,1.0,1.0,1.0,High
961,48,36,43.68,6.304974301905969,3,8,1.0,1.0,1.0,High
961,48,36,43.68,6.304974301905969,3,8,1.0,1.0,1.0,High
961,48,36,43.68,6.304974301905969,3,8,1.0,1.0,1.0,High
3777,23,23,1663.63,10.051797178384176,1,10,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
2351,52,41,1472.99,1.830230360047479,3,3,1.0,1.0,1.0,High
3238,41,31,47.56,0.9040928869932359,3,6,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
3238,41,31,47.56,0.9040928869932359,3,6,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
1823,34,28,56.9,3.915705380524718,2,9,1.0,1.0,1.0,High
956,33,20,1278.16,2.1182309623430964,3,7,1.0,1.0,1.0,High
956,33,20,1278.16,2.1182309623430964,3,7,1.0,1.0,1.0,High
956,33,20,1278.16,2.1182309623430964,3,7,1.0,1.0,1.0,High
2003,57,52,253.98,10.647480849709003,4,10,1.0,1.0,1.0,High
3931,50,37,1320.05,0.8886485490327144,3,8,1.0,1.0,1.0,High
3931,50,37,1320.05,0.8886485490327144,3,8,1.0,1.0,1.0,High
3931,50,37,1320.05,0.8886485490327144,3,8,1.0,1.0,1.0,High
1901,54,43,1363.32,2.0852817647332182,3,10,1.0,1.0,1.0,High
1901,54,43,1363.32,2.0852817647332182,3,10,1.0,1.0,1.0,High
1901,54,43,1363.32,2.0852817647332182,3,10,1.0,1.0,1.0,High
3945,34,32,49.08,2.396540886566531,1,5,1.0,1.0,1.0,High
3945,34,32,49.08,2.396540886566531,1,5,1.0,1.0,1.0,High
3945,34,32,49.08,2.396540886566531,1,5,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
1550,51,38,48.2,1.3911640745219835,2,9,1.0,1.0,1.0,High
685,33,24,40.98,1.3507470510041053,2,10,1.0,1.0,1.0,High
2741,49,40,40.91,13.310783780807123,2,2,1.0,1.0,1.0,High
865,53,46,1975.08,2.7268194984023353,2,0,1.0,1.0,1.0,High
3226,46,35,34.51,6.6129397168296595,2,9,1.0,1.0,1.0,High
3226,46,35,34.51,6.6129397168296595,2,9,1.0,1.0,1.0,High
3544,39,30,34.4,38.18117086785709,1,7,1.0,1.0,1.0,High
3544,39,30,34.4,38.18117086785709,1,7,1.0,1.0,1.0,High
3544,39,30,34.4,38.18117086785709,1,7,1.0,1.0,1.0,High
3544,39,30,34.4,38.18117086785709,1,7,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3801,63,36,29.02,14.274538094484273,2,10,1.0,1.0,1.0,High
3614,29,30,28.9,5.500009356462509,2,8,1.0,1.0,1.0,High
3614,29,30,28.9,5.500009356462509,2,8,1.0,1.0,1.0,High
3614,29,30,28.9,5.500009356462509,2,8,1.0,1.0,1.0,High
1322,27,36,1952.86,4.809974644457555,2,3,1.0,1.0,1.0,High
1322,27,36,1952.86,4.809974644457555,2,3,1.0,1.0,1.0,High
1322,27,36,1952.86,4.809974644457555,2,3,1.0,1.0,1.0,High
865,53,46,1975.08,2.7268194984023353,2,0,1.0,1.0,1.0,High
865,53,46,1975.08,2.7268194984023353,2,0,1.0,1.0,1.0,High
