customer_id,age,job,marital,education,default,balance,debt,income,tenure,nps,dependents,customer_lifetime_value
217,33,unemployed,single,primary,1,-23869.04,15283.08,277.46,26,10,1,243.87
179,32,retired,single,secondary,1,-16434.66,12630.49,716.15,24,9,3,259.91
81,20,unemployed,single,secondary,1,-11910.44,21609.58,539.38,10,8,3,224.93
50,35,unemployed,single,tertiary,1,-10332.25,47532.55,269.77,27,0,3,355.19
13,35,student,single,secondary,1,-8003.47,36324.75,522.33,27,9,1,299.71
341,24,retired,divorced,secondary,1,-7849.22,12312.03,617.07,16,7,2,153.76
573,32,retired,married,secondary,1,-6369.36,45858.11,545.62,36,10,4,283.68
614,28,unemployed,married,tertiary,1,-6237.3,20375.85,721.03,36,7,2,260.53
418,32,unemployed,married,tertiary,1,-5823.03,9185.56,807.54,23,7,2,241.01
315,29,unemployed,divorced,secondary,1,-5210.23,24637.02,409.64,21,0,1,254.5
365,39,retired,married,secondary,1,-5096.75,10234.03,1351.83,34,10,3,359.39
255,30,student,divorced,secondary,1,-4995.43,27672.27,1061.71,36,8,3,250.12
94,43,unemployed,single,secondary,1,-4954.6,28279.15,518.53,31,2,3,368.36
247,20,retired,single,primary,1,-4880.25,16485.86,692.76,15,10,3,179.46
393,32,student,single,tertiary,1,-3529.2,42507.74,794.5,24,10,3,295.24
110,30,unemployed,married,secondary,1,-3070.18,11635.3,1155.14,36,10,3,266.15
153,22,student,single,secondary,1,-2647.82,64277.16,1024.15,21,7,1,86.28
143,18,unemployed,single,secondary,1,-2583.5,14873.82,1197.5,36,10,2,101.85
249,36,retired,married,tertiary,1,-2506.22,22630.59,1395.89,32,10,3,322.14
203,28,housemaid,married,secondary,1,-2313.86,13696.05,1183.48,23,10,2,292.33
207,38,retired,divorced,secondary,1,-2272.01,7654.29,834.38,29,1,4,283.07
11,32,retired,married,secondary,1,-2178.32,19484.73,973.06,23,9,2,278.55
194,41,unemployed,single,primary,1,-2176.64,8318.37,384.31,43,0,0,396.47
214,25,student,single,secondary,1,-2156.87,7850.72,760.97,10,8,3,257.13
544,49,unemployed,married,tertiary,1,-2090.52,42670.54,447.19,37,9,0,419.82
344,33,student,married,primary,1,-1913.97,6755.41,800.7,36,5,3,291.29
555,56,unemployed,married,secondary,1,-1841.91,11905.9,200.47,36,4,0,380.4
398,30,student,married,secondary,1,-1838.91,25916.19,1393.3,36,8,1,288.52
557,44,retired,married,secondary,1,-1819.4,38809.42,835.05,36,1,3,346.25
300,25,retired,married,primary,1,-1719.23,13159.76,608.42,20,8,2,272.65
496,44,student,married,unknown,1,-1682.8,26715.68,859.42,36,8,2,357.47
27,33,student,divorced,tertiary,1,-1616.16,47896.81,605.96,24,10,3,258.45
184,36,housemaid,divorced,secondary,1,-1582.29,40569.54,1072.82,25,10,2,360.41
61,37,student,married,tertiary,1,-1569.06,32907.32,1214.92,35,10,2,317.6
445,29,retired,married,tertiary,1,-1526.21,7664.94,575.91,23,8,2,250.61
74,35,retired,married,secondary,1,-1497.95,53667.97,540.78,25,10,3,347.92
21,32,retired,married,tertiary,1,-1479.41,20043.33,883.69,26,8,1,275.9
234,31,student,married,secondary,1,-1479.36,32288.98,1176.45,22,0,1,263.89
181,28,student,married,secondary,1,-1467.13,39709.16,919.35,18,1,2,273.93
609,32,unemployed,married,secondary,1,-1360.2,51113.13,894.34,27,10,1,293.1
220,33,unemployed,married,unknown,1,-1327.48,11119.48,868.37,25,8,3,289.74
89,49,unemployed,married,secondary,1,-1322.07,109770.29,838.84,38,10,2,430.47
578,22,student,single,tertiary,1,-1280.48,10040.48,1615.2,21,8,5,248.87
351,43,unemployed,married,secondary,1,-1263.45,31356.53,737.9,25,7,1,310.98
4,26,retired,single,secondary,1,-1250.23,9173.99,992.89,14,10,1,254.58
548,38,housemaid,married,secondary,1,-1224.2,58718.82,1130.52,22,10,1,339.58
238,32,housemaid,married,tertiary,1,-1221.36,37238.46,1413.64,19,10,3,243.08
75,29,retired,single,secondary,1,-1215.08,47985.51,1184.66,23,0,2,243.98
310,33,unemployed,single,tertiary,1,-1210.67,9019.95,943.63,28,10,0,242.92
44,32,student,married,secondary,1,-1201.29,6559.22,843.41,36,0,4,298.23
186,36,housemaid,married,secondary,1,-1199.18,71022.18,1524.99,36,10,3,393.05
440,22,unemployed,single,primary,1,-1176.0,20773.62,1363.45,13,8,1,119.37
174,31,housemaid,married,tertiary,1,-1116.38,51969.98,1194.5,16,8,2,278.77
169,32,unemployed,divorced,tertiary,1,-1105.35,37379.04,1072.04,36,5,1,237.82
72,32,student,married,unknown,1,-1097.5,27473.56,900.88,23,7,3,261.33
385,31,student,single,tertiary,1,-1083.75,29303.63,1158.38,35,10,2,298.46
349,36,unemployed,married,primary,1,-1056.41,47649.32,1086.94,36,2,0,366.12
293,19,unemployed,single,secondary,1,-1037.95,72005.33,798.45,9,9,1,71.07
386,23,unemployed,divorced,primary,1,-1032.39,13312.11,1194.74,19,0,1,138.2
69,21,retired,single,secondary,1,-1029.96,49000.62,695.54,36,3,3,142.65
364,32,student,married,secondary,1,-1012.43,76054.24,962.45,27,10,2,281.93
366,27,student,divorced,secondary,1,-1009.12,5296.85,1003.06,24,1,1,274.36
160,34,unemployed,married,secondary,1,-991.51,15696.22,1078.63,36,5,5,258.0
192,23,retired,single,tertiary,1,-971.29,17071.96,574.33,36,1,3,232.07
474,34,retired,married,primary,1,-954.29,69299.72,1272.46,35,10,3,228.58
467,47,unemployed,married,secondary,1,-952.9,49131.89,383.62,27,6,1,455.66
320,21,student,single,primary,1,-950.34,15698.03,604.68,12,1,4,135.73
571,40,unemployed,single,tertiary,1,-950.18,16347.38,1561.45,20,10,1,358.48
588,23,unemployed,married,primary,1,-914.54,26178.68,361.72,17,10,2,233.44
288,32,unemployed,divorced,secondary,1,-912.94,12799.03,1547.97,33,8,0,278.22
637,44,student,single,secondary,1,-909.63,23898.99,837.34,35,7,3,381.85
558,36,retired,single,tertiary,1,-887.53,9898.19,1190.48,36,10,1,372.42
600,34,unemployed,married,tertiary,1,-862.71,15425.68,700.11,26,9,2,295.96
9,24,housemaid,married,secondary,1,-835.91,21423.03,1549.38,15,9,3,94.03
1,30,student,single,secondary,1,-833.24,28916.28,1287.03,30,9,2,232.51
