customer_id,has_mobile_app,has_web_account,mobile_logins_wk,web_logins_wk,avg_mobile_time,avg_web_time,last_mobile_use,last_web_use
1,1,1,1.0,2.0,7.0,15.91,2024-11-08,2024-11-10
2,0,1,,6.0,,2.32,,2024-03-06
3,1,1,12.0,9.0,1.78,1.71,2023-07-22,2024-03-26
4,1,1,12.0,3.0,1.55,8.19,2024-09-15,2024-09-25
5,1,1,4.0,0.0,5.78,0.0,2024-10-18,2023-02-17
6,1,1,5.0,2.0,6.48,16.31,2024-10-10,2024-12-26
7,1,1,5.0,1.0,6.04,16.35,2024-10-31,2024-12-31
8,1,1,3.0,6.0,7.31,2.27,2024-11-23,2024-07-01
9,0,1,,0.0,,0.0,,2024-07-12
10,0,1,,5.0,,6.56,,2024-09-29
11,1,1,0.0,7.0,0.0,1.87,2024-02-07,2024-03-24
12,1,1,6.0,5.0,5.57,7.69,2024-07-21,2024-10-07
13,1,1,3.0,3.0,5.84,7.66,2024-11-26,2024-10-09
14,0,1,,0.0,,0.0,,2024-03-16
15,1,1,3.0,3.0,6.24,6.98,2024-09-08,2024-08-28
16,1,1,3.0,1.0,5.27,15.6,2024-08-10,2024-09-12
17,1,1,4.0,3.0,5.45,8.29,2024-08-27,2024-07-06
18,1,1,4.0,1.0,5.77,15.85,2024-10-05,2024-10-28
19,1,1,10.0,5.0,1.83,7.95,2023-10-09,2024-10-02
20,1,1,7.0,1.0,6.84,13.83,2024-10-04,2024-10-25
21,1,1,4.0,7.0,4.75,1.63,2024-10-17,2024-10-22
22,0,1,,0.0,,0.0,,2024-09-19
23,0,1,,0.0,,0.0,,2024-03-05
24,0,0,,,,,,
25,0,1,,3.0,,6.0,,2024-09-02
26,0,0,,,,,,
27,1,1,5.0,4.0,7.71,8.87,2024-08-01,2024-09-28
28,1,1,12.0,2.0,1.11,15.31,2023-10-27,2024-10-11
29,0,0,,,,,,
30,0,1,,4.0,,7.39,,2024-07-03
31,0,0,,,,,,
32,1,1,3.0,0.0,5.97,0.0,2024-09-16,2024-09-04
33,1,1,3.0,0.0,6.77,0.0,2024-07-16,2023-10-04
34,1,1,5.0,6.0,3.55,1.68,2024-07-16,2023-02-02
35,1,1,7.0,7.0,5.95,2.1,2024-09-08,2024-03-14
36,1,1,3.0,1.0,5.69,17.82,2024-10-31,2024-12-25
37,0,1,,2.0,,16.91,,2024-12-22
38,1,1,5.0,8.0,4.33,2.23,2024-10-17,2023-10-05
39,1,1,8.0,3.0,5.35,9.81,2024-07-20,2024-09-04
40,1,1,4.0,2.0,4.55,15.65,2024-11-11,2024-10-08
41,1,1,3.0,3.0,5.82,8.09,2024-09-29,2024-09-20
42,0,1,,2.0,,15.29,,2024-11-08
43,1,1,6.0,5.0,6.93,7.34,2024-11-22,2024-11-27
44,1,1,6.0,4.0,5.68,8.4,2024-09-13,2024-11-30
45,1,1,1.0,0.0,8.2,0.0,2024-12-27,2024-01-04
46,1,1,12.0,1.0,0.76,15.67,2024-02-03,2024-09-15
47,0,1,,0.0,,0.0,,2024-03-04
48,0,1,,5.0,,7.0,,2024-08-30
49,0,0,,,,,,
50,1,1,4.0,6.0,4.69,1.83,2024-09-17,2023-12-08
51,1,1,4.0,9.0,4.23,2.24,2024-11-03,2024-05-09
52,1,1,0.0,2.0,0.0,16.41,2023-02-21,2024-12-26
53,1,1,8.0,0.0,3.82,0.0,2024-08-28,2023-12-21
54,0,0,,,,,,
55,0,1,,3.0,,8.8,,2024-09-08
56,1,1,10.0,3.0,1.21,8.64,2023-10-30,2024-07-11
57,0,1,,4.0,,9.23,,2024-08-21
58,1,1,12.0,6.0,2.26,1.41,2023-05-05,2024-05-08
