engagement_id,customer_id,campaign_id,channel_used,has_engaged,day,month,duration
1,1,31,Google Ads,0,12,March,
2,2,96,Telephone,0,20,June,
3,3,81,Website,0,9,August,
4,1004,11,Email,1,12,March,
5,4,7,Email,0,3,March,
6,5,65,TikTok,0,25,March,
7,6,20,Google Ads,0,26,September,
8,7,31,Google Ads,0,6,March,
9,8,13,Email,0,14,December,
10,9,71,Website,0,12,January,
11,3842,48,Instagram,1,3,June,89
12,10,55,TikTok,0,21,April,
13,1824,17,Email,1,4,January,
14,11,89,Telephone,0,21,February,
15,3372,3,Email,1,17,June,
16,12,52,Instagram,0,19,February,
17,13,23,Google Ads,0,4,March,
18,14,84,Landline,0,2,February,
19,15,90,Telephone,0,30,January,
20,16,27,Google Ads,0,12,March,
21,3979,36,TikTok,1,11,February,164
22,17,31,Google Ads,0,2,March,
23,18,55,TikTok,0,15,April,
24,19,74,Website,0,27,July,
25,20,40,Instagram,0,21,September,
26,21,18,Email,0,10,October,
27,3535,37,TikTok,1,28,December,33
28,22,78,Website,0,1,September,
29,23,74,Website,0,13,August,
30,24,53,Instagram,0,15,June,
31,25,88,Landline,0,14,May,
32,3432,43,Instagram,1,28,November,99
33,26,21,Google Ads,0,5,July,
34,27,68,TikTok,0,20,March,
35,28,11,Email,0,15,February,
36,29,24,Google Ads,0,15,May,
37,30,24,Google Ads,0,25,May,
38,31,5,Email,0,24,September,
39,32,79,Website,0,9,August,
40,33,44,TikTok,0,25,March,
41,34,87,Landline,0,3,January,
42,35,92,Landline,0,28,November,
43,3825,63,Instagram,1,28,March,104
44,36,36,TikTok,0,5,January,
45,37,54,Instagram,0,31,May,
46,38,90,Telephone,0,5,February,
47,39,69,TikTok,0,27,September,
48,2699,35,TikTok,1,14,January,98
49,40,99,Landline,0,11,April,
50,41,83,Website,0,23,October,
51,42,54,Instagram,0,31,May,
52,43,33,TikTok,0,21,March,
53,2970,50,TikTok,1,10,July,65
54,44,95,Landline,0,20,July,
55,45,34,TikTok,0,23,November,
56,3773,38,TikTok,1,17,March,45
57,1651,39,Instagram,1,8,April,29
58,46,15,Email,0,11,February,
59,47,4,Email,0,9,September,
60,48,2,Email,0,12,December,
61,49,76,Website,0,31,May,
62,50,68,TikTok,0,30,March,
63,1381,54,Instagram,1,27,May,119
64,51,99,Telephone,0,11,April,
65,52,66,Instagram,0,12,April,
66,53,49,TikTok,0,5,June,
67,54,39,Instagram,0,13,April,
68,55,65,Instagram,0,7,March,
69,2975,52,Instagram,1,13,February,32
70,56,18,Email,0,18,October,
71,1876,64,Instagram,1,3,July,176
72,57,32,Google Ads,0,15,October,
73,2718,32,Google Ads,1,9,November,177
74,2610,68,TikTok,1,25,March,88
75,58,98,Telephone,0,18,January,
76,59,37,TikTok,0,1,December,
77,3016,70,TikTok,1,26,September,84
78,60,39,Instagram,0,14,April,
79,61,25,Google Ads,0,2,November,
80,62,92,Landline,0,3,December,
81,63,63,Instagram,0,6,April,
82,64,7,Email,0,1,March,
83,65,87,Landline,0,11,January,
84,66,42,TikTok,0,19,February,
85,67,83,Website,0,30,September,
86,68,93,Landline,0,21,December,
87,118,63,Instagram,1,20,March,156
88,69,74,Website,0,28,July,
89,70,97,Telephone,0,6,May,
90,71,89,Landline,0,21,March,
91,72,50,Instagram,0,18,July,
92,73,46,TikTok,0,16,August,
93,74,2,Email,0,25,December,
94,75,25,Google Ads,0,27,October,
95,76,20,Google Ads,0,17,October,
96,77,32,Google Ads,0,20,October,
97,78,80,Website,0,23,October,
98,2706,81,Website,1,21,August,45
99,79,85,Telephone,0,5,May,
100,80,74,Website,0,30,August,
101,81,63,TikTok,0,4,March,
102,82,20,Google Ads,0,24,September,
103,83,29,Google Ads,0,30,January,
104,84,75,Website,0,27,September,
105,85,95,Telephone,0,10,July,
106,86,32,Google Ads,0,26,October,
107,87,45,TikTok,0,31,October,
108,88,1,Email,0,4,June,
109,656,56,TikTok,1,31,July,178
110,89,45,TikTok,0,12,October,
111,90,33,TikTok,0,5,April,
112,91,21,Google Ads,0,16,July,
113,92,61,TikTok,0,16,September,
114,93,9,Email,0,23,October,
115,94,80,Website,0,5,October,
116,95,30,Google Ads,0,25,August,
117,96,31,Google Ads,0,5,March,
118,97,30,Google Ads,0,25,August,
119,98,7,Email,0,13,March,
120,99,97,Landline,0,9,May,
121,100,86,Telephone,0,30,August,
122,101,82,Website,0,27,May,
123,102,15,Email,0,2,March,
124,579,24,Google Ads,1,20,May,136
125,103,68,TikTok,0,28,March,
126,104,14,Email,0,25,June,
127,105,62,Instagram,0,10,February,
128,106,61,Instagram,0,17,August,
129,107,98,Landline,0,30,January,
130,1123,40,Instagram,1,11,September,127
131,108,7,Email,0,10,March,
132,109,97,Landline,0,29,April,
133,110,7,Email,0,7,March,
134,111,92,Telephone,0,20,November,
135,112,19,Google Ads,0,3,May,
136,1629,48,TikTok,1,8,June,120
137,113,44,Instagram,0,17,March,
138,1964,43,Instagram,1,24,November,70
139,114,49,TikTok,0,28,May,
140,773,1,Email,1,6,June,
141,115,7,Email,0,14,March,
142,2719,59,TikTok,1,7,December,74
143,116,51,Instagram,0,26,August,
144,117,74,Website,0,20,August,
145,118,65,TikTok,0,9,March,
146,1587,40,TikTok,1,2,September,137
147,2316,36,Instagram,1,5,January,80
148,119,83,Website,0,1,November,
149,120,4,Email,0,17,September,
150,121,15,Email,0,29,January,
151,122,96,Telephone,0,30,June,
152,123,38,Instagram,0,29,March,
153,124,39,TikTok,0,4,April,
154,2286,66,Instagram,1,30,April,108
155,125,23,Google Ads,0,1,March,
156,126,30,Google Ads,0,20,August,
157,1736,55,TikTok,1,30,April,171
158,127,63,Instagram,0,30,March,
159,128,60,TikTok,0,25,July,
160,1200,44,TikTok,1,3,March,168
161,129,78,Website,0,29,July,
162,130,67,Instagram,0,11,September,
163,131,70,Instagram,0,19,September,
164,132,87,Landline,0,15,January,
165,133,70,TikTok,0,11,October,
166,134,23,Google Ads,0,25,February,
167,135,40,Instagram,0,20,September,
168,3520,8,Email,1,5,October,
169,1810,34,Instagram,1,5,November,172
170,136,4,Email,0,7,September,
171,137,4,Email,0,12,September,
172,3251,37,Instagram,1,4,January,157
173,138,16,Email,0,4,September,
174,539,53,Instagram,1,12,June,134
175,139,25,Google Ads,0,3,October,
176,140,86,Telephone,0,10,August,
177,141,26,Google Ads,0,8,October,
178,142,52,Instagram,0,15,February,
179,143,86,Landline,0,1,September,
180,144,4,Email,0,13,September,
181,884,43,TikTok,1,2,December,49
182,145,8,Email,0,4,October,
183,146,71,Website,0,19,January,
184,2602,10,Email,1,8,June,
185,147,12,Email,0,1,January,
186,148,58,TikTok,0,2,May,
187,149,13,Email,0,2,January,
188,150,22,Google Ads,0,29,October,
189,2265,60,TikTok,1,9,August,172
190,151,25,Google Ads,0,1,November,
191,152,95,Landline,0,31,July,
192,658,14,Email,1,5,June,
193,153,7,Email,0,13,March,
194,154,13,Email,0,20,December,
