loan_id,customer_id,loan_amount,loan_purpose,due_date,paid_off_date
1,1716,10000.0,credit_card,2027-05-27,2024-05-28
2,1884,17000.0,other,2027-04-18,
3,749,3000.0,credit_card,2026-06-03,
4,511,21000.0,major_purchase,2026-03-09,2024-10-15
5,428,12000.0,credit_card,2027-03-26,
6,3950,35000.0,debt_consolidation,2027-11-24,2024-11-16
7,2954,10850.0,debt_consolidation,2026-11-19,2024-08-01
8,1924,12800.0,other,2026-10-20,2024-05-17
9,3079,31075.0,housing-related,2027-02-12,
10,528,20000.0,other,2026-08-13,2024-01-23
11,1282,30000.0,housing-related,2027-09-11,2024-05-03
12,1901,30000.0,credit_card,2026-06-20,2024-12-02
13,1557,24000.0,housing-related,2026-10-13,2024-06-10
14,1349,20000.0,debt_consolidation,2027-11-07,
15,3187,6500.0,credit_card,2027-05-09,2024-01-10
16,3111,16750.0,credit_card,2027-03-31,
17,2316,13000.0,small_business,2027-07-05,2024-11-14
18,2496,18000.0,debt_consolidation,2026-11-28,2024-01-17
19,2970,17500.0,other,2026-12-10,
20,1180,15000.0,credit_card,2026-12-06,
21,1644,14400.0,debt_consolidation,2027-08-25,2024-08-09
22,593,5000.0,debt_consolidation,2026-02-22,
23,96,6000.0,debt_consolidation,2027-12-12,2024-07-30
24,1429,7200.0,major_purchase,2027-06-18,2024-05-31
25,583,3000.0,other,2027-10-14,2024-01-21
26,3449,15000.0,housing-related,2027-04-11,
27,2355,4000.0,debt_consolidation,2027-10-14,2024-08-14
28,3183,10000.0,credit_card,2027-03-03,
29,120,12800.0,vacation,2027-05-08,
30,1257,10000.0,debt_consolidation,2026-03-08,2024-10-28
31,1746,20000.0,debt_consolidation,2027-11-10,2024-02-14
32,303,12000.0,credit_card,2026-05-03,2024-12-06
33,3158,2000.0,debt_consolidation,2026-12-06,2024-06-16
34,167,20000.0,other,2026-08-31,2024-07-27
35,2290,9000.0,debt_consolidation,2026-11-21,
36,2,29175.0,credit_card,2027-12-09,
37,3883,6000.0,housing-related,2026-05-16,
38,970,1500.0,housing-related,2027-05-10,2024-09-17
39,2960,14000.0,debt_consolidation,2026-01-13,
40,2889,16000.0,debt_consolidation,2026-12-13,2024-07-15
41,1344,2100.0,debt_consolidation,2026-02-08,
42,836,6200.0,debt_consolidation,2027-03-03,
43,3809,8800.0,medical,2026-02-03,2024-05-29
44,1695,2000.0,debt_consolidation,2026-04-27,
45,2598,12000.0,debt_consolidation,2027-03-15,2024-12-08
