transaction_id,customer_id,transaction_type,transaction_amt,transaction_date
384264,3224,Deposit,507.88,2024-09-30 18:05:03
762871,3224,Withdrawal,965.05,2023-06-21 05:01:56
623305,3224,Transfer,1070.98,2024-03-21 19:44:30
851328,3224,Transfer,79.57,2023-06-04 02:22:33
191532,3224,Transfer,2.0,2024-01-01 01:56:32
806598,806,Credit,505.09,2023-06-01 09:47:12
480591,806,Deposit,686.74,2023-04-03 23:57:22
580684,806,Deposit,85.82,2023-06-02 02:07:01
703198,806,Credit,420.76,2024-01-31 12:54:19
476937,3435,Transfer,609.06,2024-09-04 04:37:16
893901,3435,Credit,80.9,2023-01-18 03:23:34
605006,3435,Withdrawal,405.07,2024-01-03 05:44:18
417878,3435,Transfer,566.5,2024-07-04 01:24:28
683657,1598,Withdrawal,997.18,2023-11-06 12:31:45
326296,1598,Withdrawal,1307.8,2024-05-15 01:25:46
618898,1598,Transfer,2093.2,2023-08-17 11:49:08
607567,1598,Withdrawal,1646.09,2024-10-22 18:28:06
265040,1598,Credit,1131.77,2023-10-31 17:34:52
232185,3041,Credit,439.47,2024-01-04 00:20:43
463801,2899,Withdrawal,290.56,2024-01-22 08:58:50
296000,1577,Transfer,359.67,2023-12-14 13:09:01
449982,1577,Transfer,89.74,2023-09-10 22:23:17
790742,1440,Deposit,282.1,2023-12-27 09:25:35
946440,1440,Deposit,290.57,2024-11-19 01:48:04
693665,164,Transfer,189.37,2024-07-01 23:22:15
567357,3675,Deposit,627.57,2024-01-09 09:04:24
979526,3675,Deposit,554.51,2023-10-01 01:42:26
226331,3675,Transfer,159.8,2024-06-17 05:38:11
502537,3675,Credit,812.54,2023-05-24 06:27:59
263902,982,Deposit,294.3,2023-06-18 08:36:35
475976,584,Deposit,92.9,2023-02-17 04:56:20
834467,584,Transfer,51.74,2023-01-14 10:50:33
412659,584,Deposit,96.19,2023-01-12 17:12:29
992946,584,Deposit,205.77,2024-02-25 04:02:09
622502,3449,Deposit,1071.15,2024-03-28 22:24:44
135041,3449,Credit,2359.04,2024-11-22 12:18:52
342695,3449,Transfer,1705.82,2023-01-17 20:48:12
415949,174,Transfer,131.32,2024-12-19 00:26:48
396735,174,Credit,80.87,2023-04-22 03:38:00
680817,1677,Withdrawal,411.91,2024-09-10 08:55:32
432160,1677,Credit,442.42,2024-04-30 17:07:52
397291,1677,Transfer,428.4,2024-07-03 15:36:04
536944,1677,Deposit,312.79,2023-11-25 22:35:27
528675,2134,Withdrawal,303.44,2023-03-06 20:39:31
774642,608,Withdrawal,200.12,2023-12-09 13:59:14
141611,1853,Withdrawal,581.03,2024-03-02 07:25:39
311041,1853,Deposit,610.47,2024-02-16 18:04:49
917161,1177,Credit,559.78,2023-12-10 11:03:39
533296,1177,Withdrawal,386.52,2024-11-08 01:34:30
463904,1208,Credit,227.41,2023-04-17 07:32:58
383010,102,Deposit,113.01,2023-10-27 08:04:52
455220,3678,Deposit,291.18,2023-08-27 22:24:43
467759,3218,Transfer,517.1,2024-03-24 15:17:28
350604,3218,Deposit,286.82,2024-03-22 12:06:15
450675,1556,Deposit,637.16,2023-07-26 07:38:30
437841,1556,Deposit,276.41,2024-10-20 22:53:38
721175,1556,Credit,538.77,2024-10-15 05:34:22
620099,1556,Transfer,330.96,2023-11-19 11:37:29
500866,1105,Deposit,469.33,2024-08-25 19:01:59
362116,1105,Transfer,75.1,2023-03-18 08:05:43
755148,1105,Credit,365.69,2023-08-02 12:49:08
630447,2356,Withdrawal,483.19,2024-11-09 12:06:21
452275,2356,Withdrawal,127.67,2024-04-12 15:21:49
895735,2356,Transfer,553.2,2024-03-29 05:58:36
198512,534,Transfer,44.79,2023-09-04 02:21:27
615789,893,Withdrawal,1131.47,2023-09-23 22:09:44
310850,893,Withdrawal,1000.77,2024-07-12 07:04:19
823408,893,Deposit,953.44,2024-12-05 14:10:21
456204,893,Credit,604.48,2024-10-01 22:48:45
541193,893,Credit,1077.12,2023-05-21 18:24:52
703884,1297,Deposit,44.86,2024-12-22 17:03:55
392542,1297,Deposit,234.22,2024-09-14 07:36:16
201910,1297,Credit,157.39,2023-11-01 20:22:25
724692,2340,Deposit,770.13,2024-04-08 18:02:29
221001,1835,Transfer,121.34,2024-10-08 20:11:00
293350,1835,Deposit,285.97,2024-04-15 16:47:48
777922,1835,Deposit,376.66,2023-11-03 05:36:14
938560,1352,Transfer,1205.93,2023-04-30 19:48:09
229036,1352,Deposit,541.14,2023-08-19 08:21:25
940162,3711,Transfer,500.83,2023-03-10 08:52:39
143669,3711,Transfer,430.74,2023-05-02 18:25:10
141049,3711,Transfer,1256.17,2023-05-16 14:03:06
283848,3711,Credit,447.25,2024-06-16 04:17:00
199819,1207,Transfer,266.88,2023-10-22 02:51:56
289155,1207,Transfer,622.22,2024-08-07 11:47:13
941316,1207,Transfer,829.11,2023-05-06 14:26:28
791694,1463,Credit,454.78,2024-10-11 08:16:46
426965,1463,Credit,310.53,2023-05-08 21:40:07
585943,1463,Withdrawal,517.53,2024-09-21 18:41:26
919612,1463,Credit,554.15,2024-07-09 16:11:30
649690,1463,Deposit,562.74,2024-06-02 15:38:04
685746,1439,Withdrawal,345.78,2024-05-07 19:48:15
860097,3002,Withdrawal,195.94,2023-07-22 15:41:45
941019,3002,Credit,227.49,2023-10-25 09:11:20
313902,3924,Credit,583.73,2024-10-19 00:38:35
701549,3924,Credit,313.18,2023-12-15 16:29:58
722680,2498,Credit,475.4,2023-06-07 22:51:54
229246,2498,Credit,429.5,2024-05-21 00:32:15
722192,2498,Credit,174.51,2024-05-09 11:25:23
616609,2498,Transfer,407.58,2023-06-23 13:42:01
774473,1955,Transfer,655.84,2023-05-10 03:43:58
503664,1955,Deposit,568.83,2023-07-17 13:11:49
185337,1955,Credit,95.96,2024-10-31 22:32:54
889405,1955,Withdrawal,114.43,2023-06-23 10:22:36
585253,2435,Deposit,430.5,2024-11-01 07:48:09
891123,2435,Transfer,165.3,2023-10-30 07:19:41
376788,2435,Credit,696.05,2023-11-24 16:54:34
770462,1931,Credit,452.21,2024-08-08 02:56:43
477117,1640,Credit,307.24,2024-01-02 23:41:46
707698,1640,Credit,318.95,2024-12-20 17:52:04
393986,228,Credit,202.99,2024-06-22 08:07:44
858241,228,Credit,274.97,2023-12-27 22:37:56
471382,3660,Transfer,684.89,2024-01-05 23:15:12
582507,3660,Deposit,818.55,2023-10-11 18:04:37
326456,3660,Withdrawal,249.7,2023-11-02 06:07:10
662363,3660,Deposit,960.79,2023-07-28 22:08:52
567694,3660,Withdrawal,427.39,2024-01-19 06:01:59
578730,3660,Transfer,236.34,2024-10-06 03:35:25
267362,1283,Transfer,552.88,2024-09-12 21:44:18
168929,1283,Credit,386.25,2024-07-26 14:14:35
555374,1283,Deposit,469.35,2023-02-02 05:36:01
764062,1283,Withdrawal,346.45,2023-04-09 03:42:00
292106,288,Withdrawal,198.03,2024-01-05 22:02:26
846521,2538,Transfer,108.21,2024-09-12 17:35:23
548540,2538,Deposit,593.26,2023-06-10 03:30:39
280070,2538,Credit,589.18,2023-03-11 23:05:01
528162,2538,Deposit,2.0,2024-10-11 21:15:34
446738,3383,Credit,219.27,2024-08-04 17:04:46
596981,3383,Withdrawal,426.5,2024-10-19 19:11:39
709278,3383,Transfer,278.35,2023-11-27 07:58:23
269593,2428,Credit,278.5,2023-04-24 00:51:30
367435,2428,Deposit,301.1,2024-11-21 02:34:25
991913,2428,Withdrawal,401.67,2024-09-11 05:15:21
329382,1763,Transfer,244.43,2023-07-07 01:15:46
236916,1763,Credit,374.66,2024-01-02 01:06:35
237029,1763,Transfer,222.53,2024-07-11 22:12:37
839355,1763,Transfer,399.28,2024-06-30 05:16:05
563584,1763,Withdrawal,103.61,2023-01-14 18:35:43
732549,290,Withdrawal,213.36,2024-06-27 22:14:24
908134,807,Credit,856.43,2024-01-20 22:19:57
942763,807,Deposit,315.53,2023-11-17 15:08:26
438243,807,Transfer,1043.58,2023-03-16 05:43:57
310330,807,Credit,540.14,2023-12-09 21:52:54
153266,807,Credit,607.78,2024-04-22 23:50:31
770499,3939,Deposit,479.07,2023-12-24 11:00:03
523907,3939,Transfer,201.58,2023-02-03 11:10:00
182928,3762,Credit,312.25,2023-10-15 19:47:34
534908,1525,Withdrawal,520.81,2023-02-16 19:33:33
644379,2102,Deposit,307.84,2024-03-17 17:54:14
874697,2102,Deposit,228.23,2024-11-08 11:02:45
585854,2102,Transfer,249.01,2024-07-23 14:23:23
339380,3757,Deposit,194.94,2024-11-13 02:39:31
560725,880,Transfer,473.24,2023-06-28 13:26:50
202807,880,Deposit,1038.88,2023-08-30 10:53:26
413105,1250,Deposit,483.53,2023-03-21 10:51:56
178423,3506,Credit,300.12,2023-03-25 08:44:57
432853,3506,Deposit,275.31,2023-10-22 06:29:22
621412,3864,Transfer,124.86,2024-07-10 03:45:12
448786,3864,Credit,392.57,2023-03-15 20:28:30
957774,3864,Credit,286.56,2024-02-08 10:18:18
572001,3864,Deposit,508.58,2023-09-24 14:39:30
208427,447,Transfer,283.24,2023-10-13 11:43:58
908780,447,Withdrawal,209.02,2023-09-17 01:43:28
677188,3520,Deposit,32.91,2023-01-29 12:40:18
421717,3520,Deposit,369.97,2024-10-02 23:01:45
818040,1273,Transfer,284.56,2023-04-02 18:16:46
552921,1273,Transfer,127.83,2023-04-22 11:34:32
843476,1340,Transfer,516.46,2023-10-16 01:17:43
112165,1340,Credit,383.43,2023-11-08 17:41:16
624631,1340,Credit,592.46,2024-12-06 11:46:19
292961,1340,Withdrawal,832.05,2024-07-26 03:51:12
510519,3028,Deposit,221.71,2023-04-22 15:37:00
140813,3028,Credit,222.5,2023-01-29 07:56:28
141388,2734,Credit,257.35,2024-09-18 03:23:35
204505,555,Deposit,27.52,2023-09-25 15:49:41
886272,3334,Transfer,103.61,2024-04-22 09:49:25
738773,2299,Deposit,1543.92,2023-08-13 11:15:37
191447,2299,Credit,1414.16,2024-05-03 07:53:06
443552,2299,Deposit,684.13,2024-06-19 18:48:13
300035,1109,Credit,235.82,2023-10-18 15:26:38
953558,1109,Transfer,383.48,2023-04-20 07:19:38
819482,1109,Credit,651.28,2024-06-20 16:35:27
581628,1827,Transfer,245.52,2024-03-12 03:18:21
138443,1827,Withdrawal,44.02,2024-02-03 02:54:08
520720,2172,Withdrawal,357.17,2023-09-13 13:04:15
252977,2172,Withdrawal,990.94,2024-04-01 19:14:31
725402,2172,Transfer,314.61,2023-03-12 04:27:00
614281,2172,Credit,1179.31,2024-10-03 01:25:12
502320,2172,Deposit,238.62,2023-10-03 19:51:32
513201,3748,Transfer,150.25,2024-05-19 10:54:42
344945,2582,Deposit,727.71,2023-09-03 20:07:41
548429,2582,Withdrawal,1044.67,2024-12-10 19:47:22
346998,2582,Withdrawal,579.45,2024-02-22 23:45:22
372964,2582,Deposit,938.79,2024-03-18 19:51:46
897524,2035,Credit,516.15,2023-01-03 02:52:08
628725,2035,Transfer,547.37,2023-10-25 02:48:17
504582,2035,Deposit,764.76,2024-01-02 20:27:27
303567,2035,Withdrawal,993.73,2023-07-20 22:52:45
886409,2035,Withdrawal,173.93,2023-04-21 06:06:23
841211,2035,Transfer,1231.34,2024-01-29 13:08:16
108164,1941,Credit,35.02,2024-01-23 18:10:19
260157,1941,Credit,700.04,2023-03-15 22:08:22
313870,1941,Deposit,370.62,2024-02-21 02:20:31
535758,838,Transfer,139.18,2024-08-09 06:17:33
508757,838,Transfer,41.49,2024-05-20 18:51:21
478429,168,Credit,86.41,2024-07-01 01:48:38
741805,168,Credit,162.12,2023-04-09 21:51:29
452824,168,Deposit,86.44,2024-10-28 22:34:37
396885,777,Deposit,287.96,2023-02-15 22:31:42
808044,2561,Deposit,647.81,2024-01-10 06:11:21
558674,2561,Transfer,133.19,2023-01-04 03:51:26
490149,2561,Transfer,374.72,2023-10-16 17:22:57
229840,2561,Withdrawal,483.77,2024-06-16 14:43:39
520593,2561,Deposit,776.15,2024-11-10 15:16:20
958902,226,Credit,85.79,2023-02-03 00:04:36
807369,1607,Credit,946.18,2023-07-03 15:42:43
886340,1607,Deposit,702.22,2023-01-05 00:27:08
172060,1607,Deposit,770.2,2024-10-16 04:10:46
695697,1607,Deposit,478.36,2023-11-30 19:56:15
896935,1334,Credit,353.46,2023-11-03 18:17:52
432975,2251,Credit,2.0,2024-11-09 16:06:36
365066,2251,Deposit,766.25,2024-09-27 12:06:36
202685,2251,Credit,58.23,2023-04-14 13:22:43
919288,2251,Deposit,2.0,2023-11-10 18:12:30
949005,283,Transfer,67.02,2024-01-03 10:20:56
565402,2603,Credit,240.97,2024-11-27 22:31:11
212584,2603,Credit,295.7,2024-11-12 16:04:39
708569,2603,Credit,39.21,2024-08-02 08:36:42
483847,914,Deposit,89.33,2024-05-25 04:56:03
199907,914,Deposit,268.39,2023-07-07 07:37:20
899352,914,Deposit,227.66,2024-06-21 06:47:10
330677,214,Credit,73.86,2023-10-02 04:00:02
709163,3828,Deposit,592.16,2024-08-13 00:18:04
477718,3828,Withdrawal,140.89,2024-03-07 18:59:09
839712,3828,Withdrawal,346.71,2023-08-28 00:38:04
177440,3828,Deposit,320.78,2024-08-11 22:10:44
719469,1394,Credit,152.4,2023-03-10 06:46:22
780116,1394,Transfer,67.05,2024-05-17 03:24:59
782640,1394,Transfer,143.27,2024-10-13 07:57:15
108689,1394,Withdrawal,193.67,2023-10-23 21:50:56
129256,1394,Deposit,274.82,2023-11-23 18:30:14
853848,945,Transfer,280.21,2024-08-27 10:04:02
730444,945,Credit,360.43,2024-05-15 13:41:37
336648,2161,Deposit,263.33,2023-11-26 19:23:34
683884,1140,Transfer,365.86,2023-05-04 13:45:48
572373,1140,Withdrawal,703.65,2024-09-27 21:09:21
678608,1140,Withdrawal,372.29,2023-02-23 12:56:16
410451,1140,Transfer,449.09,2023-11-27 23:43:55
284503,1140,Credit,284.91,2024-03-22 22:57:18
312261,1140,Transfer,919.15,2024-06-14 04:05:19
382704,3963,Deposit,275.61,2023-09-16 09:47:10
499268,3963,Withdrawal,602.24,2023-02-12 15:56:10
445536,3963,Withdrawal,315.13,2023-02-17 19:11:15
632892,2027,Withdrawal,625.65,2024-09-25 04:02:59
121649,2027,Withdrawal,387.92,2023-04-07 07:02:34
853690,2027,Credit,147.75,2023-10-18 08:33:05
750026,2027,Credit,504.1,2024-05-18 22:29:42
211526,3597,Transfer,203.85,2024-05-27 22:00:39
896927,3597,Deposit,591.44,2023-12-13 18:26:29
849390,1389,Credit,247.47,2024-01-11 09:43:53
768001,1389,Transfer,115.27,2023-06-05 00:40:29
588758,1209,Withdrawal,662.05,2024-11-11 15:16:39
858699,1209,Credit,2.0,2024-05-11 08:50:39
135268,3827,Transfer,194.87,2023-03-26 09:06:59
173244,3827,Withdrawal,261.05,2024-09-10 20:31:56
858834,3827,Credit,553.73,2023-02-18 16:49:22
523358,131,Withdrawal,148.14,2023-09-02 22:39:13
213157,131,Transfer,133.36,2023-09-26 09:45:38
852420,131,Withdrawal,299.27,2024-09-06 10:20:46
169642,1666,Credit,338.52,2023-02-13 07:51:14
882646,1666,Deposit,279.92,2023-01-25 08:42:39
152655,1666,Deposit,255.12,2024-06-15 00:21:27
958953,1666,Deposit,6.59,2023-06-26 09:37:38
954058,2495,Transfer,336.62,2024-01-25 12:41:31
291701,2495,Credit,361.72,2024-05-27 23:36:20
699605,2495,Deposit,754.07,2023-10-28 02:21:59
823412,2495,Deposit,605.07,2023-05-08 04:01:09
780137,2495,Credit,148.48,2023-01-25 18:34:18
127206,2758,Withdrawal,289.2,2024-03-15 11:15:22
201100,2758,Withdrawal,399.31,2024-02-17 02:39:03
143321,1743,Credit,106.67,2023-05-27 14:20:27
332336,1743,Credit,133.77,2024-06-11 04:32:39
564755,1743,Transfer,25.23,2023-12-05 04:02:19
777140,2824,Transfer,199.79,2024-07-14 06:25:19
682054,2824,Credit,197.71,2023-09-25 20:16:12
307101,2824,Deposit,262.7,2023-10-16 00:42:11
799307,2346,Deposit,56.27,2024-03-27 17:18:24
168959,2346,Credit,134.86,2024-02-06 08:19:22
747081,3609,Transfer,72.85,2023-01-30 01:17:22
993336,3609,Transfer,2.0,2024-11-20 01:38:49
187346,2360,Credit,345.1,2024-11-22 06:24:06
390929,2360,Deposit,698.31,2024-12-22 13:08:38
257125,2360,Credit,477.4,2023-03-28 03:38:46
839703,2360,Transfer,580.62,2023-03-18 16:02:21
151503,2089,Transfer,182.13,2024-02-21 20:39:02
627675,2089,Credit,289.31,2024-06-01 20:28:24
466435,2089,Deposit,180.77,2024-08-29 19:19:53
237164,2640,Transfer,67.8,2023-02-18 15:25:21
661989,2640,Deposit,286.17,2023-02-17 12:57:35
402905,2640,Transfer,186.67,2024-02-22 22:20:06
467711,2299,Transfer,929.7,2024-05-17 08:06:31
408840,2299,Credit,653.93,2023-05-21 07:31:02
600787,2299,Credit,524.86,2024-09-06 10:10:57
289089,2299,Withdrawal,331.35,2024-02-28 02:37:36
326550,2299,Withdrawal,865.4,2023-04-01 06:32:54
716969,2299,Transfer,1338.1,2023-08-09 14:47:27
793953,844,Credit,395.5,2024-06-01 23:18:56
436550,844,Transfer,552.14,2024-01-17 22:08:08
996558,844,Transfer,744.16,2024-08-25 03:17:39
334039,844,Credit,606.74,2023-04-13 20:35:44
298142,844,Withdrawal,851.98,2023-09-11 10:49:12
772210,844,Withdrawal,363.68,2024-04-08 07:06:12
543842,3256,Withdrawal,32.67,2023-12-21 13:21:11
531498,3256,Transfer,126.43,2023-10-05 15:11:02
816357,2660,Withdrawal,2.0,2024-06-04 19:35:34
183704,3094,Credit,176.04,2024-05-24 13:05:34
738161,1338,Deposit,187.57,2023-02-05 04:16:14
318733,1338,Deposit,145.47,2023-05-26 10:23:11
765652,2925,Transfer,67.21,2023-01-28 15:21:33
