CustomerID,RegistrationDate,Age,Gender,IncomeLevel,Country,City,TotalPurchases,AverageOrderValue,CustomerLifetimeValue,FavoriteCategory,SecondFavoriteCategory,EmailEngagementRate,SocialMediaEngagementRate,MobileAppUsage,CustomerServiceInteractions,AverageSatisfactionScore,EmailConversionRate,SocialMediaConversionRate,SearchEngineConversionRate,RepeatCustomer,PremiumMember,HasReturnedItems
,2020-05-10,25.0,nan,nan,Other,Tokyo,4.0,15.8865094898746,,Clothing,Books,0.33236451125254723,0.3796939474463288,High,0.0,6.240881371979748,0.11295506996840415,0.23994767182625898,0.1567757569395271,Yes,Yes,No
CUST00002,2021-07-18,,Prefer not to say,High,Germany,London,6.0,27.63885265517557,181.72505557776844,Electronics,Toys,0.3445742803594345,0.14098786585727824,Low,0.0,7.721916903681859,0.30097874139167985,0.23082103723504444,0.29073477010839344,Yes,No,No
CUST00003,2021-02-04,43.0,nan,High,France,,10.0,161.73942548765393,1810.555149730028,,Books,0.40965597686588906,0.3236597407867683,Low,0.0,7.899041671120684,,0.13223890237958363,0.05050546900767267,Yes,No,Yes
CUST00004,2020-12-31,49.0,Female,High,Australia,Los Angeles,5.0,14.19426270386776,86.21974007502905,Sports,Clothing,0.3567648076203752,0.2684279445349143,Never,1.0,7.829458866718619,0.07409744538928438,0.2066438170585194,0.28106714958527024,Yes,Yes,No
CUST00005,2022-06-27,29.0,Female,Very High,Australia,Tokyo,7.0,31147.427206201395,2112.5759449496786,Clothing,Beauty,0.2227030774055542,0.1604265636583856,High,,7.777352694575424,0.1634376528824752,0.23240977644458333,0.326645087457617,Yes,No,No
,2023-12-10,57.0,Male,Low,USA,Sydney,3.0,18.985494543115337,5.788113916694272,Sports,Toys,0.48395856680595745,0.22687423933622358,nan,2.0,4.059193595488387,0.10759707668211668,0.3207413885721604,0.31721679045342666,Yes,No,Yes
CUST00007,2019-04-12,23.0,nan,nan,Canada,Los Angeles,0.0,42.487912867750836,-74.76960172340253,nan,Home Goods,0.5050866440772344,0.5691960628400938,Low,0.0,6.3398548487126245,0.34437840224962385,0.22377397020989273,0.18331334704178895,No,No,No
CUST00008,2021-05-23,57.0,Other,Medium,Germany,Berlin,1.0,49.184461983612145,158.35204404950952,Home Goods,Toys,0.2996004251901696,0.40053372837279233,High,0.0,8.718546524046717,,0.449773749870613,0.14840099203039997,No,No,No
CUST00009,2018-11-27,43.0,Prefer not to say,High,Canada,New York,3.0,199.16379854508511,525.9858707942544,Electronics,Sports,0.4004139559517628,0.34742633156527913,nan,0.0,,0.055744047821995095,0.20749167720644873,0.19222630016271003,Yes,No,Yes
CUST00010,2022-01-22,16.0,nan,High,Australia,Los Angeles,5.0,67.21954826669362,449.88296198244996,Food,Beauty,0.4709170181804331,0.4006357790003175,,2.0,4.202159602641437,0.14386318621493907,0.2503721005219939,0.10850163918142385,Yes,No,No
CUST00011,2023-11-06,64.0,,Low,Australia,New York,4.0,19.99373126361249,60.10942807931538,Sports,Clothing,,0.0023778099134227765,,2.0,8.793455301886159,0.09727327320351768,0.2398639119773212,0.29639291603070045,Yes,No,Yes
CUST00012,2018-05-11,28.0,Prefer not to say,High,France,Berlin,4.0,23.935587018968697,-37.64847753248711,Home Goods,Home Goods,0.3396751912731396,0.18635111416779296,Medium,1.0,8.785575522629003,0.18428048690643928,0.11296360417189424,0.19851516004560896,,,No
CUST00013,2022-08-13,53.0,nan,,France,Paris,5.0,177.86450232127586,813.5337901736672,Home Goods,Clothing,0.18496678010291137,0.4930770793855856,Low,4.0,6.90256356302226,0.19228077219326278,0.196217310340438,0.2061180939446076,Yes,No,
CUST00014,2020-02-09,37.0,nan,High,UK,Los Angeles,4.0,154.41784202773806,540.3115544095335,Home Goods,Beauty,0.13493094138735195,0.471502785952518,Medium,,5.513807886375023,0.18718468877806,0.16029560961232003,0.10218395911774285,Yes,No,Yes
CUST00015,2022-02-24,40.0,Prefer not to say,,Australia,London,2.0,54.96655894184753,159.066976586792,nan,Beauty,,0.5318911174378684,Low,2.0,7.309901649920623,0.09256109359147714,0.14893951676336897,0.28316854211481157,Yes,Yes,No
CUST00016,2021-04-30,48.0,Other,Very High,France,Sydney,1.0,,256.686646702814,nan,Food,0.2365871906537327,,Low,1.0,7.393920859600193,0.07725059459883234,0.12873343836505557,0.23332996299421652,No,No,No
CUST00017,2020-08-13,47.0,Prefer not to say,nan,Other,New York,9.0,45.34244074167044,296.312206409059,Beauty,Beauty,0.5714438010993526,0.30704966472617906,Medium,4.0,7.1521144087400295,,0.4666310874149412,0.09239848248515167,Yes,No,No
CUST00018,2021-03-30,29.0,Male,Very High,UK,Tokyo,6.0,48.456181149800194,,nan,Beauty,0.43582632923922415,0.5189302044962191,nan,0.0,7.216058707481906,0.25717734988457097,0.1786411170095537,0.38382245547460964,Yes,No,No
CUST00019,2019-04-05,42.0,Male,Medium,Germany,Berlin,6.0,9.844160401208615,,Toys,nan,0.09120506224159855,,High,6.0,7.315191663172959,0.12204810855726682,0.041383174378087355,0.32948767697932313,Yes,No,Yes
CUST00020,2018-01-22,41.0,Male,Low,Canada,Berlin,6.0,,40.83142156201873,Electronics,Toys,0.5717954100463684,0.052919894296715723,Never,2.0,5.3272890365528,0.22449840303670773,0.14346299631192025,0.16418411460590518,Yes,No,Yes
CUST00021,2020-01-18,38.0,Male,Medium,Germany,Tokyo,4.0,158.9807257055021,,Toys,,,0.23606461746517673,nan,4.0,2.539318904132206,0.3270745057342472,0.252298433039175,0.13725109634378144,Yes,No,No
CUST00022,2019-04-20,31.0,Female,Medium,Japan,London,0.0,194.59970578161014,43.59632379420979,Clothing,nan,,0.5286776037507536,Never,2.0,8.461399566018786,0.0892550987953138,0.12028475428659952,0.06563749214575257,No,Yes,No
CUST00023,2020-12-18,38.0,Other,Medium,Canada,Other,,15.38115580674666,285.35485917107513,nan,Beauty,0.08020189944836109,0.2909860720101524,Never,,7.181997299984871,0.19414468815670918,0.30683878810021176,0.3733882898491444,Yes,Yes,No
