Target,Feature,Importance
has_investment_product,Segment_High-value,0.09732169
has_investment_product,job_admin.,0.042517517
has_investment_product,job_blue-collar,0.041650247
has_investment_product,job_technician,0.040736377
has_investment_product,job_unknown,0.038899884
has_credit_card,age,0.20168984
has_credit_card,Segment_High-value,0.04976654
has_credit_card,job_housemaid,0.0392488
has_credit_card,Segment_Budget-conscious,0.038550854
has_credit_card,income,0.035866152
has_fixed_deposit,Segment_High-value,0.053931415
has_fixed_deposit,job_admin.,0.049396146
has_fixed_deposit,income,0.04929601
has_fixed_deposit,job_blue-collar,0.04458231
has_fixed_deposit,job_unemployed,0.044489782
has_insurance,dependents,0.22548027
has_insurance,Segment_High-value,0.09154901
has_insurance,income,0.045108203
has_insurance,job_admin.,0.043662135
has_insurance,age,0.042036053
